SEQ='BE'     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  76039261.2   NPRNTI= 2   NPRNTF= 2
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 2.5)   257223.7 

   LS RESOLVED TERM INDEXING            BWNR=  82908802.3   NTRM= 246
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    30       1.52E-12  1.08E-12  6.81E-13  4.81E-13  3.40E-13  2.13E-13  1.49E-13  1.04E-13  6.18E-14  4.00E-14
             2.44E-14  1.14E-14  5.79E-15  2.71E-15  8.92E-16  3.59E-16  1.38E-16  3.74E-17  1.36E-17
    31       6.86E-12  4.85E-12  3.06E-12  2.15E-12  1.51E-12  9.36E-13  6.39E-13  4.24E-13  2.28E-13  1.31E-13
             6.93E-14  2.58E-14  1.11E-14  4.46E-15  1.25E-15  4.58E-16  1.66E-16  4.25E-17  1.51E-17
    32       2.23E-12  1.57E-12  9.93E-13  6.99E-13  4.91E-13  3.04E-13  2.08E-13  1.38E-13  7.45E-14  4.30E-14
             2.27E-14  8.48E-15  3.65E-15  1.47E-15  4.11E-16  1.51E-16  5.46E-17  1.40E-17  4.98E-18
    33       4.89E-12  3.45E-12  2.17E-12  1.52E-12  1.06E-12  6.39E-13  4.20E-13  2.62E-13  1.25E-13  6.39E-14
             2.97E-14  9.46E-15  3.70E-15  1.39E-15  3.65E-16  1.31E-16  4.66E-17  1.18E-17  4.20E-18
    34       1.62E-12  1.15E-12  7.20E-13  5.05E-13  3.51E-13  2.12E-13  1.39E-13  8.69E-14  4.14E-14  2.12E-14
             9.86E-15  3.14E-15  1.23E-15  4.61E-16  1.21E-16  4.35E-17  1.55E-17  3.94E-18  1.39E-18
    55       7.27E-13  5.14E-13  3.25E-13  2.30E-13  1.62E-13  1.03E-13  7.25E-14  5.10E-14  3.18E-14  2.20E-14
             1.49E-14  8.49E-15  5.26E-15  3.08E-15  1.37E-15  6.90E-16  3.25E-16  1.10E-16  4.60E-17
    56       2.37E-13  1.67E-13  1.06E-13  7.49E-14  5.29E-14  3.35E-14  2.37E-14  1.67E-14  1.05E-14  7.24E-15
             4.92E-15  2.81E-15  1.75E-15  1.02E-15  4.57E-16  2.30E-16  1.08E-16  3.67E-17  1.53E-17
    57       2.54E-12  1.80E-12  1.14E-12  8.02E-13  5.66E-13  3.56E-13  2.49E-13  1.72E-13  1.02E-13  6.55E-14
             3.97E-14  1.83E-14  9.28E-15  4.33E-15  1.42E-15  5.70E-16  2.19E-16  5.93E-17  2.16E-17
    58       8.41E-13  5.94E-13  3.75E-13  2.65E-13  1.87E-13  1.18E-13  8.22E-14  5.69E-14  3.37E-14  2.17E-14
             1.32E-14  6.09E-15  3.09E-15  1.44E-15  4.72E-16  1.90E-16  7.30E-17  1.97E-17  7.18E-18
    59       4.15E-12  2.93E-12  1.85E-12  1.30E-12  9.15E-13  5.66E-13  3.87E-13  2.56E-13  1.38E-13  7.91E-14
             4.16E-14  1.54E-14  6.63E-15  2.66E-15  7.42E-16  2.73E-16  9.86E-17  2.53E-17  8.99E-18
    60       1.36E-12  9.59E-13  6.05E-13  4.27E-13  2.99E-13  1.85E-13  1.27E-13  8.41E-14  4.53E-14  2.61E-14
             1.37E-14  5.10E-15  2.19E-15  8.81E-16  2.46E-16  9.04E-17  3.27E-17  8.38E-18  2.98E-18
    61       4.31E-12  3.04E-12  1.91E-12  1.34E-12  9.32E-13  5.62E-13  3.70E-13  2.31E-13  1.10E-13  5.62E-14
             2.61E-14  8.29E-15  3.24E-15  1.22E-15  3.20E-16  1.15E-16  4.08E-17  1.04E-17  3.67E-18
    62       2.34E-12  1.65E-12  1.03E-12  7.18E-13  4.93E-13  2.86E-13  1.79E-13  1.04E-13  4.39E-14  2.03E-14
             8.59E-15  2.49E-15  9.29E-16  3.38E-16  8.72E-17  3.10E-17  1.10E-17  2.79E-18  9.86E-19
    63       7.79E-13  5.49E-13  3.44E-13  2.39E-13  1.64E-13  9.55E-14  5.98E-14  3.47E-14  1.46E-14  6.77E-15
             2.86E-15  8.31E-16  3.10E-16  1.13E-16  2.91E-17  1.03E-17  3.67E-18  9.29E-19  3.29E-19
    64       1.43E-12  1.01E-12  6.34E-13  4.44E-13  3.09E-13  1.86E-13  1.23E-13  7.66E-14  3.65E-14  1.87E-14
             8.66E-15  2.76E-15  1.08E-15  4.04E-16  1.06E-16  3.81E-17  1.36E-17  3.45E-18  1.22E-18
    91       4.46E-13  3.15E-13  1.99E-13  1.41E-13  9.95E-14  6.28E-14  4.42E-14  3.10E-14  1.92E-14  1.31E-14
             8.82E-15  4.97E-15  3.07E-15  1.79E-15  7.94E-16  3.98E-16  1.87E-16  6.35E-17  2.65E-17
    92       1.46E-13  1.03E-13  6.52E-14  4.61E-14  3.26E-14  2.06E-14  1.45E-14  1.02E-14  6.33E-15  4.34E-15
             2.92E-15  1.65E-15  1.02E-15  5.95E-16  2.64E-16  1.33E-16  6.24E-17  2.12E-17  8.82E-18
    93       1.57E-12  1.11E-12  6.99E-13  4.94E-13  3.48E-13  2.18E-13  1.52E-13  1.05E-13  6.18E-14  3.95E-14
             2.38E-14  1.09E-14  5.50E-15  2.56E-15  8.37E-16  3.36E-16  1.29E-16  3.49E-17  1.27E-17
    94       5.19E-13  3.66E-13  2.32E-13  1.64E-13  1.15E-13  7.24E-14  5.05E-14  3.48E-14  2.05E-14  1.31E-14
             7.92E-15  3.63E-15  1.83E-15  8.53E-16  2.79E-16  1.12E-16  4.31E-17  1.16E-17  4.23E-18
    95       2.67E-12  1.88E-12  1.19E-12  8.37E-13  5.87E-13  3.63E-13  2.48E-13  1.64E-13  8.77E-14  5.02E-14
