SEQ='N '     NUCCHG=18                                                  /LS/

   PARENT TERM INDEXING                 BWNP=  94468457.0   NPRNTI= 4   NPRNTF=12
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   337     1    2S2 2P2 8D1         (2)1( 2.5)  4734538.4 
   338     1    2S2 2P2 8D1         (4)1( 5.5)  4735025.3 
   339     1    2S2 2P2 8D1         (2)3( 6.5)  4735817.3 
   340     1    2S2 2P2 8D1         (2)2( 4.5)  4736881.7 
   341     1    2S2 2P2 8F1         (4)4(17.5)  4737634.1 
   342     1    2S2 2P2 8F1         (4)2( 9.5)  4737634.3 
   343     1    2S2 2P2 8F1         (2)2( 4.5)  4737662.4 
   344     1    2S2 2P2 8F1         (2)4( 8.5)  4737950.2 
   345     1    2S2 2P2 8G1         (4)3(13.5)  4738094.8 
   346     1    2S2 2P2 8G1         (2)3( 6.5)  4738094.8 
   347     1    2S2 2P2 8G1         (4)4(17.5)  4738094.8 
   348     1    2S2 2P2 8G1         (2)4( 8.5)  4738094.8 
   349     1    2S2 2P2 8G1         (4)5(21.5)  4738094.8 
   350     1    2S2 2P2 8G1         (2)5(10.5)  4738094.8 
   351     1    2S2 2P2 8F1         (4)3(13.5)  4738114.1 
   352     1    2S2 2P2 8H1         (4)4(17.5)  4738226.0 
   353     1    2S2 2P2 8H1         (2)4( 8.5)  4738226.0 
   354     1    2S2 2P2 8H1         (4)5(21.5)  4738226.0 
   355     1    2S2 2P2 8H1         (2)5(10.5)  4738226.0 
   356     1    2S2 2P2 8H1         (4)6(25.5)  4738226.0 
   357     1    2S2 2P2 8H1         (2)6(12.5)  4738226.0 
   358     1    2S2 2P2 8I1         (4)5(21.5)  4738284.6 
   359     1    2S2 2P2 8I1         (2)5(10.5)  4738284.6 
   360     1    2S2 2P2 8I1         (4)6(25.5)  4738284.6 
   361     1    2S2 2P2 8I1         (2)6(12.5)  4738284.6 
   362     1    2S2 2P2 8I1         (4)7(29.5)  4738284.6 
   363     1    2S2 2P2 8I1         (2)7(14.5)  4738284.6 
   364     1    2S2 2P2 8J1         (4)6(25.5)  4738314.5 
   365     1    2S2 2P2 8J1         (2)6(12.5)  4738314.5 
   366     1    2S2 2P2 8J1         (4)7(29.5)  4738314.5 
   367     1    2S2 2P2 8J1         (2)7(14.5)  4738314.5 
   368     1    2S2 2P2 8J1         (4)8(33.5)  4738314.5 
   369     1    2S2 2P2 8J1         (2)8(16.5)  4738314.5 
   370     1    2S2 2P2 8F1         (2)3( 6.5)  4738543.1 
   371     5    2S1 2P3 5F1         (4)3(13.5)  4742028.6 
   372     6    2S1 2P3 5P1         (4)1( 5.5)  4772317.5 
   373     3    2S2 2P2 7S1         (2)0( 0.5)  4774581.3 
   374     3    2S2 2P2 7P1         (2)1( 2.5)  4783881.0 
   375     2    2S2 2P2 8S1         (2)2( 4.5)  4790505.7 
