SEQ='BE'     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  76358438.3   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   262317.2 
     3          2P1                 (2)1( 1.5)   286598.3 

   IC RESOLVED LEVEL INDEXING           BWNR=  83257501.5   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   341     3    2P1 7D1             (1)2( 2.0)  6678284.2 
   342     3    2P1 7P1             (1)0( 0.0)  6678917.0 
   343     3    2P1 7D1             (3)2( 3.0)  6679083.1 
   344     3    2P1 7D1             (3)2( 2.0)  6679768.2 
   345     3    2P1 7D1             (3)1( 1.0)  6679916.7 
   346     3    2P1 7D1             (3)1( 0.0)  6680016.3 
   347     3    2P1 7F1             (1)3( 3.0)  6680602.2 
   348     3    2P1 7F1             (3)3( 4.0)  6680806.5 
   349     3    2P1 7F1             (3)3( 3.0)  6681175.4 
   350     3    2P1 7F1             (3)4( 5.0)  6681270.6 
   351     3    2P1 7F1             (3)3( 2.0)  6681272.0 
   352     3    2P1 7G1             (1)*( 2.0)  6681549.0 
   353     3    2P1 7G1             (1)*( 3.0)  6681549.0 
   354     3    2P1 7G1             (1)*( 4.0)  6681549.0 
   355     3    2P1 7G1             (1)*( 5.0)  6681549.0 
   356     3    2P1 7G1             (1)*( 3.0)  6681549.0 
   357     3    2P1 7G1             (1)*( 4.0)  6681549.0 
   358     3    2P1 7G1             (1)*( 5.0)  6681549.0 
   359     3    2P1 7G1             (1)*( 6.0)  6681549.0 
   360     3    2P1 7H1             (1)*( 3.0)  6681653.7 
   361     3    2P1 7H1             (1)*( 4.0)  6681653.7 
   362     3    2P1 7H1             (1)*( 5.0)  6681653.7 
   363     3    2P1 7H1             (1)*( 6.0)  6681653.7 
   364     3    2P1 7H1             (1)*( 4.0)  6681653.7 
   365     3    2P1 7H1             (1)*( 5.0)  6681653.7 
   366     3    2P1 7H1             (1)*( 6.0)  6681653.7 
   367     3    2P1 7H1             (1)*( 7.0)  6681653.7 
   368     3    2P1 7I1             (1)*( 4.0)  6681700.5 
   369     3    2P1 7I1             (1)*( 5.0)  6681700.5 
   370     3    2P1 7I1             (1)*( 6.0)  6681700.5 
   371     3    2P1 7I1             (1)*( 7.0)  6681700.5 
   372     3    2P1 7I1             (1)*( 5.0)  6681700.5 
   373     3    2P1 7I1             (1)*( 6.0)  6681700.5 
   374     3    2P1 7I1             (1)*( 7.0)  6681700.5 
   375     3    2P1 7I1             (1)*( 8.0)  6681700.5 
   376     3    2P1 7D1             (1)3( 3.0)  6681745.9 
   377     3    2P1 7F1             (1)4( 4.0)  6681881.8 
   378     3    2P1 7F1             (3)2( 1.0)  6681893.5 
   379     3    2P1 7D1             (1)1( 1.0)  6681981.2 
   380     3    2P1 7F1             (1)2( 2.0)  6682251.8 
   381     2    2P1 8S1             (3)1( 0.0)  6766122.8 
   382     2    2P1 8S1             (3)1( 1.0)  6766374.8 
   383     2    2P1 8P1             (3)2( 1.0)  6769942.8 
   384     2    2P1 8P1             (3)1( 1.0)  6771108.6 
   385     2    2P1 8P1             (3)2( 2.0)  6771305.7 
   386     2    2P1 8P1             (3)1( 0.0)  6772120.4 
   387     2    2P1 8D1             (3)3( 2.0)  6773098.7 
   388     2    2P1 8D1             (3)1( 2.0)  6774160.2 
   389     2    2P1 8D1             (3)3( 3.0)  6774396.8 
   390     2    2P1 8D1             (3)2( 1.0)  6774826.3 
   391     2    2P1 8F1             (3)4( 3.0)  6775042.2 
   392     2    2P1 8F1             (3)2( 3.0)  6775264.2 
   393     2    2P1 8F1             (3)4( 4.0)  6775356.6 
   394     2    2P1 8F1             (3)2( 2.0)  6775366.6 
   395     2    2P1 8G1             (1)*( 3.0)  6775439.9 
   396     2    2P1 8G1             (1)*( 4.0)  6775439.9 
   397     2    2P1 8G1             (1)*( 4.0)  6775439.9 
