SEQ='N '     NUCCHG=18                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94851161.9   NPRNTI= 6   NPRNTF=20
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
   349     7    2S1 2P3 4P1         (4)2( 2.5)  4320904.0 
   350     3    2S2 2P2 5P1         (4)1( 2.5)  4321247.0 
   351     7    2S1 2P3 4P1         (4)3( 2.5)  4323007.6 
   352     3    2S2 2P2 5P1         (4)0( 1.5)  4325374.2 
   353     3    2S2 2P2 5P1         (2)1( 0.5)  4326513.3 
   354     3    2S2 2P2 5P1         (2)2( 2.5)  4327514.9 
   355     1    2S2 2P2 5D1         (4)3( 1.5)  4328096.8 
   356     3    2S2 2P2 5P1         (2)1( 1.5)  4329013.2 
   357     8    2S1 2P3 4P1         (2)3( 2.5)  4329085.0 
   358     8    2S1 2P3 4P1         (2)1( 1.5)  4329180.8 
   359     8    2S1 2P3 4P1         (2)1( 0.5)  4329636.2 
   360     1    2S2 2P2 5D1         (4)3( 2.5)  4329940.3 
   361     2    2S2 2P2 5D1         (4)3( 3.5)  4337187.9 
   362     2    2S2 2P2 5D1         (4)2( 1.5)  4337424.6 
   363     8    2S1 2P3 4P1         (4)1( 1.5)  4337698.7 
   364     2    2S2 2P2 5D1         (4)2( 0.5)  4337871.1 
   365     8    2S1 2P3 4P1         (4)1( 0.5)  4337964.7 
   366     9    2S1 2P3 4P1         (4)1( 2.5)  4338847.0 
   367     2    2S2 2P2 5D1         (4)1( 2.5)  4338948.9 
   368    11    2S1 2P3 4S1         (4)1( 1.5)  4341258.0 
