SEQ='BE'     NUCCHG=20                                                  /IC/

   PARENT LEVEL INDEXING                BWNP=  94846886.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   295528.9 
     3          2P1                 (2)1( 1.5)   334397.6 

   IC RESOLVED LEVEL INDEXING           BWNR= 103612964.0   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
   310     2    2P1 7P1             (3)1( 1.0)  8406523.2 
   311     2    2P1 7P1             (3)2( 2.0)  8406857.1 
   312     2    2P1 7P1             (3)1( 0.0)  8408010.2 
   313     2    2P1 7D1             (3)3( 2.0)  8409940.7 
   314     2    2P1 7D1             (3)1( 2.0)  8411847.0 
   315     2    2P1 7D1             (3)3( 3.0)  8412244.9 
   316     2    2P1 7D1             (3)2( 1.0)  8412915.9 
   317     2    2P1 7F1             (3)4( 3.0)  8413374.4 
   318     2    2P1 7F1             (3)2( 3.0)  8413787.8 
   319     2    2P1 7F1             (3)2( 2.0)  8413921.4 
   320     2    2P1 7F1             (3)4( 4.0)  8413944.4 
   321     2    2P1 7G1             (1)*( 3.0)  8414131.0 
   322     2    2P1 7G1             (1)*( 4.0)  8414131.0 
   323     2    2P1 7G1             (1)*( 4.0)  8414131.0 
   324     2    2P1 7G1             (1)*( 5.0)  8414131.0 
   325     2    2P1 7H1             (1)*( 4.0)  8414251.2 
   326     2    2P1 7H1             (1)*( 5.0)  8414251.2 
   327     2    2P1 7H1             (1)*( 5.0)  8414251.2 
   328     2    2P1 7H1             (1)*( 6.0)  8414251.2 
   329     2    2P1 7I1             (1)*( 5.0)  8414304.9 
   330     2    2P1 7I1             (1)*( 6.0)  8414304.9 
   331     2    2P1 7I1             (1)*( 6.0)  8414304.9 
   332     2    2P1 7I1             (1)*( 7.0)  8414304.9 
   333     3    2P1 7S1             (3)1( 2.0)  8436622.3 
   334     3    2P1 7S1             (1)1( 1.0)  8437517.2 
   335     3    2P1 7P1             (1)1( 1.0)  8443702.7 
   336     3    2P1 7P1             (3)2( 3.0)  8444123.9 
   337     3    2P1 7P1             (3)1( 2.0)  8444814.3 
   338     3    2P1 7P1             (3)0( 1.0)  8445047.9 
   339     3    2P1 7P1             (1)2( 2.0)  8447078.3 
   340     3    2P1 7D1             (3)3( 4.0)  8449000.0 
   341     3    2P1 7D1             (1)2( 2.0)  8449114.1 
   342     3    2P1 7P1             (1)0( 0.0)  8449683.0 
   343     3    2P1 7D1             (3)2( 3.0)  8450009.9 
   344     3    2P1 7D1             (3)2( 2.0)  8450809.1 
   345     3    2P1 7D1             (3)1( 1.0)  8450943.4 
   346     3    2P1 7D1             (3)1( 0.0)  8451054.7 
   347     3    2P1 7F1             (1)3( 3.0)  8451811.4 
   348     3    2P1 7F1             (3)3( 4.0)  8452070.8 
   349     3    2P1 7F1             (3)3( 3.0)  8452492.1 
   350     3    2P1 7F1             (3)3( 2.0)  8452570.1 
   351     3    2P1 7F1             (3)4( 5.0)  8452607.6 
   352     3    2P1 7G1             (1)*( 2.0)  8452999.7 
   353     3    2P1 7G1             (1)*( 3.0)  8452999.7 
   354     3    2P1 7G1             (1)*( 4.0)  8452999.7 
   355     3    2P1 7G1             (1)*( 5.0)  8452999.7 
   356     3    2P1 7G1             (1)*( 3.0)  8452999.7 
   357     3    2P1 7G1             (1)*( 4.0)  8452999.7 
   358     3    2P1 7G1             (1)*( 5.0)  8452999.7 
   359     3    2P1 7G1             (1)*( 6.0)  8452999.7 
   360     3    2P1 7D1             (1)3( 3.0)  8453016.1 
   361     3    2P1 7H1             (1)*( 3.0)  8453119.9 
   362     3    2P1 7H1             (1)*( 4.0)  8453119.9 
   363     3    2P1 7H1             (1)*( 5.0)  8453119.9 
   364     3    2P1 7H1             (1)*( 6.0)  8453119.9 
   365     3    2P1 7H1             (1)*( 4.0)  8453119.9 
   366     3    2P1 7H1             (1)*( 5.0)  8453119.9 
   367     3    2P1 7H1             (1)*( 6.0)  8453119.9 
   368     3    2P1 7H1             (1)*( 7.0)  8453119.9 
   369     3    2P1 7I1             (1)*( 4.0)  8453173.7 
   370     3    2P1 7I1             (1)*( 5.0)  8453173.7 
   371     3    2P1 7I1             (1)*( 6.0)  8453173.7 
   372     3    2P1 7I1             (1)*( 7.0)  8453173.7 
   373     3    2P1 7I1             (1)*( 5.0)  8453173.7 
   374     3    2P1 7I1             (1)*( 6.0)  8453173.7 
   375     3    2P1 7I1             (1)*( 7.0)  8453173.7 
   376     3    2P1 7I1             (1)*( 8.0)  8453173.7 
   377     3    2P1 7F1             (1)4( 4.0)  8453285.3 
   378     3    2P1 7F1             (3)2( 1.0)  8453286.9 
   379     3    2P1 7D1             (1)1( 1.0)  8453332.9 
   380     3    2P1 7F1             (1)2( 2.0)  8453737.8 
   381     2    2P1 8S1             (3)1( 0.0)  8554966.1 
   382     2    2P1 8S1             (3)1( 1.0)  8555252.6 
   383     2    2P1 8P1             (3)2( 1.0)  8559342.6 
   384     2    2P1 8P1             (3)1( 1.0)  8560821.6 
   385     2    2P1 8P1             (3)2( 2.0)  8561055.7 
   386     2    2P1 8P1             (3)1( 0.0)  8561810.3 
   387     2    2P1 8D1             (3)3( 2.0)  8563108.7 
   388     2    2P1 8D1             (3)1( 2.0)  8564366.9 
   389     2    2P1 8D1             (3)3( 3.0)  8564658.3 
   390     2    2P1 8D1             (3)2( 1.0)  8565078.3 
   391     2    2P1 8F1             (3)4( 3.0)  8565374.6 
   392     2    2P1 8F1             (3)2( 3.0)  8565658.8 
   393     2    2P1 8F1             (3)2( 2.0)  8565754.5 
   394     2    2P1 8F1             (3)4( 4.0)  8565765.6 
   395     2    2P1 8G1             (1)*( 3.0)  8565906.7 
   396     2    2P1 8G1             (1)*( 4.0)  8565906.7 
   397     2    2P1 8G1             (1)*( 4.0)  8565906.7 
