SEQ='B '     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 469748931.9   NPRNTI= 2   NPRNTF= 6
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2                 (1)0( 0.0)        0.0 
     2          2S1 2P1             (3)1( 4.0)   571855.3 
     3          2S1 2P1             (1)1( 1.0)  1096879.4*
     4          2P2                 (3)1( 4.0)  1470156.1*
     5          2P2                 (1)2( 2.0)  1653649.1*
     6          2P2                 (1)0( 0.0)  2036068.3*

   LS RESOLVED TERM INDEXING            BWNR= 511255702.8   NTRM= 289
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
     8       3.26E-11  2.31E-11  1.46E-11  1.03E-11  7.26E-12  4.56E-12  3.19E-12  2.21E-12  1.32E-12  8.52E-13
             5.21E-13  2.42E-13  1.23E-13  5.74E-14  1.87E-14  7.51E-15  2.89E-15  7.78E-16  2.82E-16
    10       3.70E-11  2.62E-11  1.65E-11  1.16E-11  8.16E-12  5.05E-12  3.45E-12  2.28E-12  1.23E-12  7.08E-13
             3.73E-13  1.39E-13  5.98E-14  2.40E-14  6.71E-15  2.47E-15  8.92E-16  2.29E-16  8.13E-17
    31       1.69E-15  1.19E-15  7.53E-16  5.33E-16  3.76E-16  2.37E-16  1.67E-16  1.17E-16  7.15E-17  4.74E-17
             2.98E-17  1.43E-17  7.44E-18  3.53E-18  1.17E-18  4.73E-19  1.82E-19  4.94E-20  1.79E-20
    32       5.00E-16  3.54E-16  2.24E-16  1.58E-16  1.12E-16  7.13E-17  5.09E-17  3.65E-17  2.38E-17  1.73E-17
             1.24E-17  7.55E-18  4.88E-18  2.93E-18  1.33E-18  6.67E-19  3.14E-19  1.06E-19  4.39E-20
    33       1.92E-16  1.36E-16  8.60E-17  6.08E-17  4.30E-17  2.71E-17  1.91E-17  1.34E-17  8.23E-18  5.49E-18
             3.46E-18  1.68E-18  8.73E-19  4.16E-19  1.38E-19  5.58E-20  2.16E-20  5.84E-21  2.12E-21
    34       2.76E-15  1.95E-15  1.23E-15  8.69E-16  6.11E-16  3.79E-16  2.61E-16  1.75E-16  9.62E-17  5.66E-17
             3.05E-17  1.16E-17  5.08E-18  2.06E-18  5.81E-19  2.14E-19  7.76E-20  1.99E-20  7.09E-21
