SEQ='HE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 198122701.0   NPRNTI= 1   NPRNTF= 1
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          1S1                 (2)0( 0.5)        0.0 

   IC RESOLVED LEVEL INDEXING           BWNR= 390207216.3   NLVL= 127
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    46       1.66E-12  1.17E-12  7.31E-13  5.09E-13  3.49E-13  2.03E-13  1.27E-13  7.38E-14  3.11E-14  1.44E-14
             6.09E-15  1.77E-15  6.59E-16  2.40E-16  6.18E-17  2.20E-17  7.79E-18  1.98E-18  6.99E-19
    47       2.13E-12  1.50E-12  9.40E-13  6.54E-13  4.49E-13  2.61E-13  1.63E-13  9.49E-14  4.00E-14  1.85E-14
             7.83E-15  2.27E-15  8.47E-16  3.08E-16  7.94E-17  2.83E-17  1.00E-17  2.54E-18  8.99E-19
    48       2.13E-12  1.50E-12  9.40E-13  6.54E-13  4.49E-13  2.61E-13  1.63E-13  9.49E-14  4.00E-14  1.85E-14
             7.83E-15  2.27E-15  8.47E-16  3.08E-16  7.94E-17  2.83E-17  1.00E-17  2.54E-18  8.99E-19
    49       2.60E-12  1.83E-12  1.15E-12  8.00E-13  5.49E-13  3.19E-13  2.00E-13  1.16E-13  4.89E-14  2.26E-14
             9.57E-15  2.77E-15  1.04E-15  3.77E-16  9.71E-17  3.45E-17  1.22E-17  3.10E-18  1.10E-18
    50       1.34E-12  9.47E-13  5.99E-13  4.23E-13  2.98E-13  1.87E-13  1.31E-13  9.11E-14  5.53E-14  3.71E-14
             2.43E-14  1.31E-14  7.80E-15  4.38E-15  1.85E-15  8.96E-16  4.09E-16  1.34E-16  5.48E-17
    51       4.78E-13  3.38E-13  2.13E-13  1.51E-13  1.06E-13  6.62E-14  4.60E-14  3.14E-14  1.82E-14  1.14E-14
             6.77E-15  3.01E-15  1.49E-15  6.78E-16  2.16E-16  8.55E-17  3.25E-17  8.70E-18  3.15E-18
    52       4.44E-13  3.14E-13  1.98E-13  1.40E-13  9.87E-14  6.21E-14  4.35E-14  3.02E-14  1.83E-14  1.23E-14
             8.07E-15  4.37E-15  2.60E-15  1.46E-15  6.17E-16  2.99E-16  1.36E-16  4.46E-17  1.82E-17
    53       1.43E-12  1.01E-12  6.39E-13  4.51E-13  3.17E-13  1.98E-13  1.38E-13  9.41E-14  5.45E-14  3.43E-14
