SEQ='NE'     NUCCHG=42                                                  /LS/

   PARENT TERM INDEXING                 BWNP= 662593533.5   NPRNTI= 1   NPRNTF= 1
   --------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S2 2P5             (2)1( 2.5)        0.0 

   LS RESOLVED TERM INDEXING            BWNR= 696858141.5   NTRM= 175
   -------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   ----  ----   ----                 - -   --  ----------
    17       9.82E-13  6.94E-13  4.39E-13  3.11E-13  2.20E-13  1.39E-13  9.85E-14  6.97E-14  4.40E-14  3.09E-14
             2.13E-14  1.25E-14  7.96E-15  4.78E-15  2.19E-15  1.12E-15  5.33E-16  1.83E-16  7.69E-17
    18       1.18E-12  8.37E-13  5.29E-13  3.74E-13  2.64E-13  1.66E-13  1.17E-13  8.14E-14  4.92E-14  3.23E-14
             2.02E-14  9.69E-15  5.05E-15  2.42E-15  8.14E-16  3.32E-16  1.29E-16  3.52E-17  1.28E-17
    19       5.86E-12  4.14E-12  2.62E-12  1.85E-12  1.31E-12  8.24E-13  5.79E-13  4.03E-13  2.44E-13  1.61E-13
             1.00E-13  4.83E-14  2.52E-14  1.21E-14  4.06E-15  1.66E-15  6.44E-16  1.75E-16  6.40E-17
    20       1.94E-12  1.37E-12  8.69E-13  6.14E-13  4.34E-13  2.73E-13  1.92E-13  1.34E-13  8.10E-14  5.34E-14
             3.34E-14  1.61E-14  8.38E-15  4.02E-15  1.35E-15  5.52E-16  2.14E-16  5.84E-17  2.13E-17
    21       1.16E-12  8.24E-13  5.21E-13  3.68E-13  2.60E-13  1.64E-13  1.15E-13  8.02E-14  4.86E-14  3.20E-14
             2.00E-14  9.63E-15  5.03E-15  2.41E-15  8.11E-16  3.31E-16  1.29E-16  3.51E-17  1.28E-17
    22       3.49E-12  2.47E-12  1.56E-12  1.10E-12  7.80E-13  4.91E-13  3.45E-13  2.41E-13  1.46E-13  9.61E-14
             6.00E-14  2.89E-14  1.51E-14  7.23E-15  2.43E-15  9.93E-16  3.86E-16  1.05E-16  3.84E-17
    23       3.73E-13  2.64E-13  1.67E-13  1.18E-13  8.32E-14  5.25E-14  3.69E-14  2.58E-14  1.57E-14  1.04E-14
             6.53E-15  3.16E-15  1.65E-15  7.95E-16  2.68E-16  1.09E-16  4.26E-17  1.16E-17  4.23E-18
    24       3.27E-12  2.31E-12  1.46E-12  1.03E-12  7.20E-13  4.46E-13  3.05E-13  2.03E-13  1.10E-13  6.41E-14
             3.42E-14  1.29E-14  5.63E-15  2.29E-15  6.46E-16  2.39E-16  8.65E-17  2.22E-17  7.90E-18
    25       7.58E-12  5.36E-12  3.38E-12  2.38E-12  1.67E-12  1.04E-12  7.09E-13  4.72E-13  2.56E-13  1.49E-13
             7.95E-14  3.01E-14  1.31E-14  5.33E-15  1.50E-15  5.56E-16  2.01E-16  5.18E-17  1.84E-17
    26       2.51E-12  1.77E-12  1.12E-12  7.88E-13  5.54E-13  3.43E-13  2.35E-13  1.56E-13  8.50E-14  4.94E-14
             2.64E-14  1.00E-14  4.36E-15  1.77E-15  5.00E-16  1.85E-16  6.69E-17  1.72E-17  6.12E-18
    27       5.37E-12  3.79E-12  2.39E-12  1.69E-12  1.18E-12  7.34E-13  5.02E-13  3.35E-13  1.82E-13  1.06E-13
             5.65E-14  2.14E-14  9.33E-15  3.79E-15  1.07E-15  3.95E-16  1.43E-16  3.69E-17  1.31E-17
    28       1.79E-12  1.26E-12  7.98E-13  5.62E-13  3.95E-13  2.45E-13  1.67E-13  1.12E-13  6.06E-14  3.53E-14
             1.88E-14  7.14E-15  3.11E-15  1.26E-15  3.57E-16  1.32E-16  4.78E-17  1.23E-17  4.37E-18
    29       1.04E-12  7.36E-13  4.65E-13  3.28E-13  2.30E-13  1.43E-13  9.78E-14  6.52E-14  3.56E-14  2.07E-14
             1.11E-14  4.22E-15  1.84E-15  7.49E-16  2.12E-16  7.82E-17  2.83E-17  7.29E-18  2.59E-18
    30       2.60E-12  1.84E-12  1.16E-12  8.11E-13  5.64E-13  3.40E-13  2.24E-13  1.40E-13  6.67E-14  3.42E-14
             1.59E-14  5.09E-15  2.00E-15  7.50E-16  1.98E-16  7.10E-17  2.53E-17  6.43E-18  2.28E-18
    31       4.68E-12  3.30E-12  2.08E-12  1.46E-12  1.01E-12  6.11E-13  4.02E-13  2.51E-13  1.20E-13  6.15E-14
             2.86E-14  9.15E-15  3.59E-15  1.35E-15  3.56E-16  1.28E-16  4.55E-17  1.16E-17  4.09E-18
    32       1.56E-12  1.10E-12  6.92E-13  4.85E-13  3.37E-13  2.03E-13  1.34E-13  8.36E-14  3.99E-14  2.05E-14
             9.53E-15  3.05E-15  1.20E-15  4.49E-16  1.18E-16  4.25E-17  1.51E-17  3.85E-18  1.36E-18
    33       8.65E-13  6.10E-13  3.84E-13  2.69E-13  1.87E-13  1.13E-13  7.43E-14  4.64E-14  2.22E-14  1.14E-14
             5.29E-15  1.69E-15  6.64E-16  2.50E-16  6.58E-17  2.36E-17  8.41E-18  2.14E-18  7.57E-19
    34       3.62E-12  2.55E-12  1.61E-12  1.13E-12  7.83E-13  4.72E-13  3.11E-13  1.94E-13  9.27E-14  4.76E-14
             2.22E-14  7.09E-15  2.78E-15  1.05E-15  2.76E-16  9.89E-17  3.52E-17  8.96E-18  3.17E-18
    35       1.21E-12  8.51E-13  5.35E-13  3.75E-13  2.61E-13  1.57E-13  1.04E-13  6.47E-14  3.09E-14  1.59E-14
             7.39E-15  2.36E-15  9.27E-16  3.48E-16  9.19E-17  3.30E-17  1.17E-17  2.99E-18  1.06E-18
    36       1.60E-12  1.13E-12  7.14E-13  5.05E-13  3.57E-13  2.26E-13  1.60E-13  1.13E-13  7.06E-14  4.91E-14
             3.35E-14  1.94E-14  1.22E-14  7.29E-15  3.32E-15  1.69E-15  8.06E-16  2.76E-16  1.16E-16
    37       5.30E-13  3.74E-13  2.37E-13  1.67E-13  1.18E-13  7.49E-14  5.30E-14  3.74E-14  2.35E-14  1.63E-14
             1.12E-14  6.46E-15  4.07E-15  2.43E-15  1.11E-15  5.63E-16  2.68E-16  9.21E-17  3.87E-17
    38       6.31E-13  4.46E-13  2.82E-13  1.99E-13  1.41E-13  8.87E-14  6.22E-14  4.33E-14  2.61E-14  1.71E-14
             1.06E-14  5.08E-15  2.64E-15  1.26E-15  4.23E-16  1.72E-16  6.68E-17  1.82E-17  6.64E-18
    39       3.13E-12  2.21E-12  1.40E-12  9.89E-13  6.99E-13  4.40E-13  3.09E-13  2.15E-13  1.30E-13  8.52E-14
             5.30E-14  2.53E-14  1.32E-14  6.29E-15  2.11E-15  8.59E-16  3.34E-16  9.09E-17  3.32E-17
    40       1.04E-12  7.35E-13  4.65E-13  3.28E-13  2.32E-13  1.46E-13  1.03E-13  7.16E-14  4.32E-14  2.84E-14
             1.76E-14  8.43E-15  4.38E-15  2.10E-15  7.03E-16  2.86E-16  1.11E-16  3.03E-17  1.10E-17
    41       6.24E-13  4.41E-13  2.79E-13  1.97E-13  1.39E-13  8.77E-14  6.16E-14  4.29E-14  2.59E-14  1.70E-14
             1.06E-14  5.06E-15  2.63E-15  1.26E-15  4.22E-16  1.72E-16  6.67E-17  1.82E-17  6.63E-18
    42       1.87E-12  1.32E-12  8.36E-13  5.91E-13  4.17E-13  2.63E-13  1.85E-13  1.29E-13  7.77E-14  5.10E-14
             3.17E-14  1.52E-14  7.89E-15  3.77E-15  1.27E-15  5.15E-16  2.00E-16  5.45E-17  1.99E-17
    43       2.02E-13  1.43E-13  9.03E-14  6.38E-14  4.51E-14  2.84E-14  2.00E-14  1.40E-14  8.47E-15  5.58E-15
             3.48E-15  1.67E-15  8.70E-16  4.16E-16  1.40E-16  5.70E-17  2.22E-17  6.04E-18  2.20E-18
    44       1.94E-12  1.37E-12  8.66E-13  6.10E-13  4.28E-13  2.65E-13  1.82E-13  1.21E-13  6.55E-14  3.80E-14
             2.02E-14  7.65E-15  3.32E-15  1.35E-15  3.80E-16  1.40E-16  5.09E-17  1.31E-17  4.65E-18
