SEQ='BE'     NUCCHG=42                                                  /IC/

   PARENT LEVEL INDEXING                BWNP= 436244610.9   NPRNTI= 3   NPRNTF= 3
   ---------------------
   INDP         CODE                 S L   WI        WNP
   ----         ----                 - -   --  ----------
     1          2S1                 (2)0( 0.5)        0.0 
     2          2P1                 (2)1( 0.5)   704485.6 
     3          2P1                 (2)1( 1.5)  1647115.9 

   IC RESOLVED LEVEL INDEXING           BWNR= 480950912.4   NLVL= 466
   --------------------------
   INDX  INDP   CODE                 S L   WJ        WNR
   342     2    2P1 8D1             (1)3( 3.0) 42793612.5 
   343     2    2P1 8F1             (3)4( 3.0) 42795241.7 
   344     2    2P1 8F1             (3)2( 2.0) 42796222.2 
   345     2    2P1 8F1             (3)2( 3.0) 42798020.6 
   346     2    2P1 8F1             (3)3( 4.0) 42798289.2 
   347     2    2P1 8G1             (1)*( 3.0) 42802404.5 
   348     2    2P1 8G1             (1)*( 4.0) 42802404.5 
   349     2    2P1 8G1             (1)*( 4.0) 42802404.5 
   350     2    2P1 8G1             (1)*( 5.0) 42802404.5 
   351     2    2P1 8H1             (1)*( 4.0) 42802600.4 
   352     2    2P1 8H1             (1)*( 5.0) 42802600.4 
   353     2    2P1 8H1             (1)*( 5.0) 42802600.4 
   354     2    2P1 8H1             (1)*( 6.0) 42802600.4 
   355     2    2P1 8I1             (1)*( 5.0) 42802688.0 
   356     2    2P1 8I1             (1)*( 6.0) 42802688.0 
   357     2    2P1 8I1             (1)*( 6.0) 42802688.0 
   358     2    2P1 8I1             (1)*( 7.0) 42802688.0 
   359     2    2P1 8J1             (1)*( 6.0) 42802732.8 
   360     2    2P1 8J1             (1)*( 7.0) 42802732.8 
   361     2    2P1 8J1             (1)*( 7.0) 42802732.8 
   362     2    2P1 8J1             (1)*( 8.0) 42802732.8 
   363     3    2P1 7S1             (3)1( 2.0) 42872790.7 
   364     3    2P1 7S1             (1)1( 1.0) 42874794.6 
   365     3    2P1 7P1             (3)0( 1.0) 42892290.0 
   366     3    2P1 7P1             (1)2( 2.0) 42893218.1 
   367     3    2P1 7P1             (3)2( 3.0) 42910665.6 
   368     3    2P1 7P1             (1)1( 1.0) 42910792.1 
   369     3    2P1 7P1             (3)1( 2.0) 42916581.0 
   370     3    2P1 7P1             (1)0( 0.0) 42922795.8 
   371     3    2P1 7D1             (3)2( 2.0) 42923928.3 
   372     3    2P1 7D1             (3)3( 3.0) 42926136.3 
   373     3    2P1 7D1             (3)1( 1.0) 42927121.9 
   374     3    2P1 7D1             (3)1( 0.0) 42927251.2 
   375     3    2P1 7D1             (3)3( 4.0) 42928744.7 
   376     3    2P1 7D1             (3)1( 2.0) 42931627.3 
   377     3    2P1 7F1             (3)3( 3.0) 42935475.6 
   378     3    2P1 7D1             (1)3( 3.0) 42936305.2 
   379     3    2P1 7F1             (3)3( 2.0) 42937153.9 
   380     3    2P1 7F1             (3)4( 4.0) 42937475.7 
   381     3    2P1 7D1             (1)1( 1.0) 42938427.7 
   382     3    2P1 7F1             (3)2( 1.0) 42938879.5 
   383     3    2P1 7F1             (1)3( 3.0) 42939886.1 
   384     3    2P1 7F1             (3)4( 5.0) 42940284.1 
   385     3    2P1 7F1             (1)4( 4.0) 42940492.6 
   386     3    2P1 7F1             (1)2( 2.0) 42943070.0 
   387     3    2P1 7G1             (1)*( 2.0) 42946474.8 
   388     3    2P1 7G1             (1)*( 3.0) 42946474.8 
   389     3    2P1 7G1             (1)*( 4.0) 42946474.8 
   390     3    2P1 7G1             (1)*( 5.0) 42946474.8 
   391     3    2P1 7G1             (1)*( 3.0) 42946474.8 
